Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Entrepreneurship, Frontend Development",Hybrid,7.8,"Critical Thinking, Leadership","Lisp, Dart, Shell (Bash), Haskell","Pytest, MongoDB, Weights & Biases, PyCharm, Tableau","Microsoft Certified: Azure AI Engineer, Microsoft Certified Azure Fundamentals, Google UX Design Certificate",False,True,6,"Club Leadership Roles, Workshop Hosting, Hackathons","Probability and Statistics, Database Management Systems, Bioinformatics",1,Logical,Technical Consultant
Natural Language Processing,Remote,8.3,"Active Listening, Teamwork, Creative Thinking, Innovative Thinking, Accountability","C#, HTML, Scala","InVision, MongoDB, GitHub, Azure, Grafana",,True,True,7,Mentorship Programs,"Chemistry, Data Structures and Algorithms, Physics, Technical Communication",1,"Experimental, Pragmatic",Ph.D. Candidate
"Machine Learning, Artificial Intelligence",On-site,9.6,"Creative Thinking, Communication",,"Scikit-learn, AWS","Deep Learning Specialization (Coursera), AWS Certified Machine Learning - Specialty, Machine Learning (Stanford/Coursera), Microsoft Certified: Azure AI Engineer",False,False,7,,"Machine Learning, Probability and Statistics, Computer Architecture, Cyber Security",0,"Strategic, Problem Solving",Machine Learning Engineer
Backend Development,Remote,8.2,Empathy,"Python, Java, Ruby, Go, C#","Looker, Django, Git",Backend Development (Node.js),True,False,0,"Volunteering, Robotics Competitions, Online Coding Contests, Mentorship Programs","Database Management Systems, Object-Oriented Programming",3,"Systematic, Big Picture Thinker",Software Developer (Backend)
"Deep Learning, Ethical Hacking",Hybrid,8.9,"Innovative Thinking, Attention to Detail, Conflict Resolution, Teamwork, Analytical Thinking","Python, HTML, Julia","MongoDB, Cypress, Grafana","Cisco CCNA, Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",True,True,1,"Tech Meetups, Video Editing, Mentorship Programs, Public Speaking","Linear Algebra, Operating Systems",2,Pragmatic,Systems Engineer
"Frontend Development, UI/UX Design",Remote,7.4,"Adaptability, Decision Making, Communication","CSS, HTML","Canva, InVision, Vue.js, Sketch, PyCharm, Scikit-learn","Backend Development (Node.js), Responsive Web Design (freeCodeCamp), Google UX Design Certificate",False,False,2,"Startup Ideation Events, Gaming","Physics, Psychology",4,Detail-Oriented,UI/UX Designer
"Deep Learning, Game Development, Education Technology",Hybrid,6.4,Teamwork,"SQL, Shell (Bash)","Pytest, MongoDB, Prometheus, Sketch, Scikit-learn",,False,False,6,"Volunteering, 3D Modeling, Open Source Contributions","User Interface Design, Computer Architecture, Computer Vision",2,Strategic,Product Manager
"Web Development, Frontend Development",On-site,8.0,"Active Listening, Innovative Thinking","Python, TypeScript","Unreal Engine, Scikit-learn, Jest, React","Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",False,False,7,,"Web Technologies, Data Structures and Algorithms, Data Mining, IoT (Internet of Things)",4,"Systematic, Collaborative",Full Stack Developer
"Game Development, Consulting, Mobile App Development",On-site,7.9,"Creative Thinking, Customer Focus, Accountability, Goal-Oriented Mindset, Emotional Intelligence",,"SwiftUI, Git",iOS App Development with Swift (Apple),False,True,0,"Public Speaking, Graphic Design, Club Leadership Roles","Project Management, Mobile Application Development, Technical Communication, Psychology",1,"Systematic, User-Centered",Mobile Developer (iOS)
"Data Science, Design Systems",Remote,9.7,"Work Ethic, Critical Thinking, Leadership, Teamwork, Attention to Detail","Rust, PHP","Hadoop, Figma, Vue.js, Sketch, Git",,False,False,5,Open Source Contributions,"Data Structures and Algorithms, Cloud Computing",0,"Analytical, Collaborative",Big Data Engineer
Academic Research,On-site,6.7,"Communication, Attention to Detail, Planning and Organization, Active Listening","Rust, PHP, Ruby","Airflow, Pytest, Kubernetes, Docker, PostgreSQL, Cypress","Frontend Development Libraries (freeCodeCamp), Google UX Design Certificate",True,True,5,"Public Speaking, Event Management","Machine Learning, Cloud Infrastructure, Blockchain, Object-Oriented Programming",1,Systematic,Software Test Automation Engineer
Quantum Computing,On-site,7.3,"Work Ethic, Conflict Resolution, Presentation Skills, Multitasking, Creative Thinking",PowerShell,"Pytest, Mocha, Android Studio, Weights & Biases","Certified ScrumMaster (CSM), PCEP – Certified Entry-Level Python Programmer, CompTIA Security+",True,True,8,Gaming,"Artificial Intelligence, Physics, Biology",3,"Systematic, Pragmatic",Embedded Systems Engineer
Big Data,Remote,7.6,"Presentation Skills, Work Ethic, Adaptability",SQL,"Kafka, Airflow, Mocha, PostgreSQL, Google Colab, Selenium","HashiCorp Certified: Terraform Associate, Backend Development (Node.js)",True,True,1,"Online Coding Contests, Coding Clubs, Volunteering","Information Security, Computer Architecture, Digital Logic Design, Cloud Computing",0,"Systematic, Intuitive",MS in Computer Science
